schedule_season,schedule_week,schedule_playoff,score_home,score_away,team_favorite_id,spread_favorite,over_under_line,stadium_neutral,team_home_abbrev,team_away_abbrev,home_team_favored,point_diff,home_team_won
1980,7,False,26,21,CLE,-9.0,37.0,False,CLE,GB,1,5,1
1980,7,False,17,23,DEN,-4.0,40.0,False,DEN,KC,1,-6,0
1980,7,False,20,14,TEN,-9.0,34.0,False,TEN,TB,1,6,1
1980,7,False,17,14,BUF,-2.0,35.0,False,MIA,BUF,0,3,1
1980,7,False,14,41,ATL,-3.0,44.0,False,NO,ATL,0,-27,0
1980,7,False,17,27,NYJ,-2.0,38.0,False,NYJ,SEA,1,-10,0
1980,7,False,17,10,PHI,-3.0,41.0,False,PHI,DAL,1,7,1
1980,7,False,44,7,LAC,-15.0,47.0,False,LAC,NYG,1,37,1
1980,7,False,17,31,LAR,-9.0,50.0,False,SF,LAR,0,-14,0
1980,7,False,23,0,WAS,-4.0,39.0,False,WAS,ARI,1,23,1
1980,7,False,34,45,PIT,-10.0,45.0,False,PIT,LVR,1,-11,0
1980,8,False,13,10,LAR,-3.0,43.0,False,ATL,LAR,0,3,1
1980,8,False,10,17,IND,-8.0,41.0,False,IND,ARI,1,-7,0
1980,8,False,31,13,NE,-2.0,42.0,False,BUF,NE,0,18,1
1980,8,False,27,26,PIT,-3.0,44.0,False,CLE,PIT,0,1,1
1980,8,False,42,31,DAL,-2.0,45.0,False,DAL,LAC,1,11,1
1980,8,False,16,3,GB,-1.0,36.0,False,GB,MIN,1,13,1
1980,8,False,23,3,TEN,-6.0,35.0,False,TEN,CIN,1,20,1
